id;sluzba;datum;meno;kontakt;stav;razitko
1;oprava;2018-11-19;Tamara Melicharová;tamara.melicharova@zenit.sk;prijatá;2018-01-01 00:00:00
2;čalúnenie;2018-11-20;Roman Vild;roman.v@zenit.sk;schválená;2018-01-01 00:00:00
3;farbenie;2018-11-21;David Seifert;d.seifert@zenit.sk;zamietnutá;2018-01-01 00:00:00
4;konzultácia;2018-11-22;Adriana Skriváňová;adrianas@zenit.sk;prijatá;2018-01-01 00:00:00
5;oprava;2018-11-23;Linda Hegrová;hegrova@zenit.sk;schválená;2018-01-01 00:00:00
6;čalúnenie;2018-11-24;Ladislav Synek;synek@zenit.sk;prijatá;2018-01-01 00:00:00
7;farbenie;2018-11-25;Tibor Nohejl;tino@zenit.sk;prijatá;2018-01-01 00:00:00
8;konzultácia;2018-11-19;Alexandra Stenová;sten@zenit.sk;schválená;2018-01-01 00:00:00
9;oprava;2018-11-20;Roman Zvolan;zvolan@zenit.sk;zamietnutá;2018-01-01 00:00:00
10;čalúnenie;2018-11-21;Markéta Vozeníková;marketa.vozenikova@zenit.sk;prijatá;2018-01-01 00:00:00
11;farbenie;2018-11-22;Robin Vlk;robin@zenit.sk;schválená;2018-01-01 00:00:00
12;konzultácia;2018-11-23;Dalibor Konarík;konarik@zenit.sk;zamietnutá;2018-01-01 00:00:00
13;oprava;2018-11-24;Vincent Kalina;kalina@zenit.sk;prijatá;2018-01-01 00:00:00
14;čalúnenie;2018-11-25;Zita Volfová;volfova@zenit.sk;schválená;2018-01-01 00:00:00
15;farbenie;2018-11-19;Marián Švehla;marian.svehla@zenit.sk;prijatá;2018-01-01 00:00:00
16;konzultácia;2018-01-03;Július Adamík;juliusss@zenit.sk;prijatá;2018-01-01 00:00:00
